[21:16:58.588] [INFO   ] thread main starting.
[21:16:58.597] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:16:58.597] [SEVERE ] configuration file was loaded from resources directory.
[21:16:59.197] [INFO   ] thread dealer starting.
[21:16:59.198] [INFO   ] thread dealer starting.
[21:16:59.198] [INFO   ] thread player 0 starting.
[21:16:59.199] [INFO   ] thread player 1 starting.
[21:16:59.200] [INFO   ] thread player 0 starting.
[21:16:59.201] [INFO   ] thread player 1 starting.
[21:16:59.322] [SEVERE ] placing card 80 in slot 0
[21:16:59.439] [SEVERE ] placing card 23 in slot 1
[21:16:59.555] [SEVERE ] placing card 3 in slot 2
[21:16:59.672] [SEVERE ] placing card 25 in slot 3
[21:16:59.773] [SEVERE ] placing card 26 in slot 4
[21:16:59.888] [SEVERE ] placing card 71 in slot 5
[21:16:59.990] [SEVERE ] placing card 51 in slot 6
[21:17:00.105] [SEVERE ] placing card 60 in slot 7
[21:17:00.212] [SEVERE ] placing card 77 in slot 8
[21:17:00.319] [SEVERE ] placing card 9 in slot 9
[21:17:00.427] [SEVERE ] placing card 38 in slot 10
[21:17:00.538] [SEVERE ] placing card 41 in slot 11
[21:17:00.550] [SEVERE ] updating countdown to 60000
[21:17:00.661] [SEVERE ] updating countdown to 59889
[21:17:00.770] [SEVERE ] updating countdown to 59780
[21:17:00.879] [SEVERE ] updating countdown to 59671
[21:17:00.988] [SEVERE ] updating countdown to 59562
[21:17:01.096] [SEVERE ] updating countdown to 59454
[21:17:01.205] [SEVERE ] updating countdown to 59345
[21:17:01.314] [SEVERE ] updating countdown to 59236
[21:17:01.421] [SEVERE ] updating countdown to 59129
[21:17:01.530] [SEVERE ] updating countdown to 59020
[21:17:01.637] [SEVERE ] updating countdown to 58913
[21:17:01.745] [SEVERE ] updating countdown to 58805
[21:17:01.853] [SEVERE ] updating countdown to 58697
[21:17:01.962] [SEVERE ] updating countdown to 58588
[21:17:02.071] [SEVERE ] updating countdown to 58479
[21:17:02.180] [SEVERE ] updating countdown to 58370
[21:17:02.290] [SEVERE ] updating countdown to 58260
[21:17:02.399] [SEVERE ] updating countdown to 58151
[21:17:02.506] [SEVERE ] updating countdown to 58044
[21:17:02.614] [SEVERE ] updating countdown to 57936
[21:17:02.722] [SEVERE ] updating countdown to 57828
[21:17:02.832] [SEVERE ] updating countdown to 57718
[21:17:02.942] [SEVERE ] updating countdown to 57608
[21:17:03.050] [SEVERE ] updating countdown to 57500
[21:17:03.159] [SEVERE ] updating countdown to 57391
[21:17:03.267] [SEVERE ] updating countdown to 57283
[21:17:03.375] [SEVERE ] updating countdown to 57175
[21:17:03.483] [SEVERE ] updating countdown to 57067
[21:17:03.591] [SEVERE ] updating countdown to 56959
[21:17:03.698] [SEVERE ] updating countdown to 56852
[21:17:03.806] [SEVERE ] updating countdown to 56744
[21:17:03.915] [SEVERE ] updating countdown to 56635
[21:17:04.024] [SEVERE ] updating countdown to 56526
[21:17:04.133] [SEVERE ] updating countdown to 56417
[21:17:04.242] [SEVERE ] updating countdown to 56308
[21:17:04.349] [SEVERE ] updating countdown to 56201
[21:17:04.458] [SEVERE ] updating countdown to 56092
[21:17:04.567] [SEVERE ] updating countdown to 55983
[21:17:04.675] [SEVERE ] updating countdown to 55875
[21:17:04.783] [SEVERE ] updating countdown to 55767
[21:17:04.892] [SEVERE ] updating countdown to 55658
[21:17:04.999] [SEVERE ] updating countdown to 55551
[21:17:05.109] [SEVERE ] updating countdown to 55441
[21:17:05.218] [SEVERE ] updating countdown to 55332
[21:17:05.324] [SEVERE ] updating countdown to 55226
[21:17:05.433] [SEVERE ] updating countdown to 55117
[21:17:05.543] [SEVERE ] updating countdown to 55007
[21:17:05.651] [SEVERE ] updating countdown to 54899
[21:17:05.760] [SEVERE ] updating countdown to 54790
[21:17:05.867] [SEVERE ] updating countdown to 54683
[21:17:05.973] [SEVERE ] updating countdown to 54577
[21:17:06.083] [SEVERE ] updating countdown to 54467
[21:17:06.192] [SEVERE ] updating countdown to 54358
[21:17:06.302] [SEVERE ] updating countdown to 54248
[21:17:06.410] [SEVERE ] updating countdown to 54140
[21:17:06.518] [SEVERE ] updating countdown to 54032
[21:17:06.625] [SEVERE ] updating countdown to 53925
[21:17:06.733] [SEVERE ] updating countdown to 53817
[21:17:06.842] [SEVERE ] updating countdown to 53708
[21:17:06.949] [SEVERE ] updating countdown to 53601
[21:17:07.059] [SEVERE ] updating countdown to 53491
[21:17:07.167] [SEVERE ] updating countdown to 53383
[21:17:07.277] [SEVERE ] updating countdown to 53273
[21:17:07.386] [SEVERE ] updating countdown to 53164
[21:17:07.493] [SEVERE ] updating countdown to 53057
[21:17:07.602] [SEVERE ] updating countdown to 52948
[21:17:07.711] [SEVERE ] updating countdown to 52839
[21:17:07.820] [SEVERE ] updating countdown to 52730
[21:17:07.929] [SEVERE ] updating countdown to 52621
[21:17:08.038] [SEVERE ] updating countdown to 52512
[21:17:08.146] [SEVERE ] updating countdown to 52404
[21:17:08.255] [SEVERE ] updating countdown to 52295
[21:17:08.362] [SEVERE ] updating countdown to 52188
[21:17:08.472] [SEVERE ] updating countdown to 52078
[21:17:08.579] [SEVERE ] updating countdown to 51971
[21:17:08.688] [SEVERE ] updating countdown to 51862
[21:17:08.797] [SEVERE ] updating countdown to 51753
[21:17:08.905] [SEVERE ] updating countdown to 51645
[21:17:09.012] [SEVERE ] updating countdown to 51538
[21:17:09.120] [SEVERE ] updating countdown to 51430
[21:17:09.227] [SEVERE ] updating countdown to 51323
[21:17:09.335] [SEVERE ] updating countdown to 51215
[21:17:09.444] [SEVERE ] updating countdown to 51106
[21:17:09.554] [SEVERE ] updating countdown to 50996
[21:17:09.664] [SEVERE ] updating countdown to 50886
[21:17:09.771] [SEVERE ] updating countdown to 50779
[21:17:09.879] [SEVERE ] updating countdown to 50671
[21:17:09.988] [SEVERE ] updating countdown to 50562
[21:17:10.097] [SEVERE ] updating countdown to 50453
[21:17:10.205] [SEVERE ] updating countdown to 50345
[21:17:10.313] [SEVERE ] updating countdown to 50237
[21:17:10.421] [SEVERE ] updating countdown to 50129
[21:17:10.530] [SEVERE ] updating countdown to 50020
[21:17:10.641] [SEVERE ] updating countdown to 49909
[21:17:10.749] [SEVERE ] updating countdown to 49801
[21:17:10.859] [SEVERE ] updating countdown to 49691
[21:17:10.966] [SEVERE ] updating countdown to 49584
[21:17:11.074] [SEVERE ] updating countdown to 49476
[21:17:11.181] [SEVERE ] updating countdown to 49369
[21:17:11.289] [SEVERE ] updating countdown to 49261
[21:17:11.397] [SEVERE ] updating countdown to 49153
[21:17:11.506] [SEVERE ] updating countdown to 49044
[21:17:11.615] [SEVERE ] updating countdown to 48935
[21:17:11.722] [SEVERE ] updating countdown to 48828
[21:17:11.830] [SEVERE ] updating countdown to 48720
[21:17:11.939] [SEVERE ] updating countdown to 48611
[21:17:12.046] [SEVERE ] updating countdown to 48504
